author,comment,time,votes,clean,clean_nostop
@EmanPasquali,"It is 
very funny😂😂",2 days ago,0,it is very funny,funny
@tonychristoffels5685,"2025, are you here ?😂🤝",2 weeks ago,2,2025 are you here,2025
@Brastonjalatachimbwete,"🤣🤣🤣 @Benz 10, never disappoint, and k brown",2 weeks ago,0,benz 10 never disappoint and k brown,benz 10 never disappoint brown
@Brastonjalatachimbwete,We are here 2025 October,2 weeks ago,0,we are here 2025 october,2025 october
@SaiKarate-y7l2v,Something is smelling 😅😅😂shu men😅,1 month ago,0,something is smelling shu men,something smelling shu men
@blurdream,"Watching in September 2025, still one of the best❤",1 month ago,0,watching in september 2025 still one of the best,watching september 2025 still one best
@PurrfectPalsAI,still the best in these days HAHAHAHA,1 month ago,0,still the best in these days hahahaha,still best days hahahaha
@GiannaSmall1,Anyone here august 2025?😂,2 months ago,1,anyone here august 2025,anyone august 2025
@MarkMoitz-h7k,Aug 26 2025😂,2 months ago,0,aug 26 2025,aug 26 2025
@SiyanthandaInam,Nice trie Emanuel,2 months ago,0,nice trie emanuel,nice trie emanuel
@BabiryeJawuharah,I can't stop laughing 😂,2 months ago,0,i can't stop laughing,can't stop laughing
@SaimonRamires-do6jq,"Even denilson was warning us about trump six year ago. 😂😂😂😂😂
Trump has kill me ooooo😂😂😂😂",2 months ago,0,even denilson was warning us about trump six year ago trump has kill me ooooo,even denilson warning us trump six year ago trump kill ooooo
@drcathymwesigwa9080,0:20  what did he say😂,2 months ago,0,0 20 what did he say,20 say
@immanuelm4579,2025 we are still here,2 months ago,2,2025 we are still here,2025 still
@NicoleAdatsi-ug9bc,😂😂😂😂,2 months ago,0,,
@EmmanuelKiyindou,Why is he talking like that?,2 months ago,0,why is he talking like that,talking like
@SammoyaSuban,Who's here in 2025,3 months ago,1,who's here in 2025,who's 2025
@OmorinadeBanjo,😂😂😂😂😂😂😂😂😂,3 months ago,0,,
@Mutembei-tv,Who is here  2100,3 months ago (edited),0,who is here 2100,2100
@sineee_was10,😝😝😝😝🌺😭,3 months ago,0,,
@sineee_was10,3:30 😂😂,3 months ago,0,3 30,30
@StellaBluecy,"Me still here in 2025 and it's still this funny chaiiii 😅😂😅😅
Shu!!!!😅😅😅😅😂😂😂😂",3 months ago,0,me still here in 2025 and it's still this funny chaiiii shu,still 2025 still funny chaiiii shu
@SalimJibril-p5f,😂😂😂😂😂😂😂,3 months ago,0,,
@kingsleymills4635,I really can't believe this guy exploited Emmanuella for years. Made millions of her n still couldn't help her change her life . KARMA will hit you when u least expect it. God n the gods of this universe will make a fool out of you in no time n money can't save you. GREEDY BASTA*D,3 months ago,0,i really can't believe this guy exploited emmanuella for years made millions of her n still couldn't help her change her life karma will hit you when u least expect it god n the gods of this universe will make a fool out of you in no time n money can't save you greedy basta d,really can't believe guy exploited emmanuella years made millions still help change life karma hit least expect god gods universe make fool time money can't save greedy basta
@DanielAmeyawttxn,come to trinidad first,3 months ago,0,come to trinidad first,come trinidad first
@colinsfonjiaatem1859,So funny 😂😂🎉I love it,4 months ago,0,so funny i love it,funny love
@SandraAw-b4s,Who is here in 2025 june 29th❤😂😊😅,4 months ago,0,who is here in 2025 june 29th,2025 june 29th
@MoBLuBSiAb4LiFe,When it was actually good,4 months ago,0,when it was actually good,actually good
@chrisogada4916,Where is denilson,4 months ago,0,where is denilson,denilson
@wwidnaute1263,😂,4 months ago,0,,
@NzeValen256,Trump run madooo😂😅,4 months ago,0,trump run madooo,trump run madooo
@NagaManuK1994,Anyone in june 2025 ?❤️,4 months ago,1,anyone in june 2025,anyone june 2025
@isaiahfrancis6442,7:14 Trump has killed me oooh 😂😂,5 months ago (edited),7,7 14 trump has killed me oooh,14 trump killed oooh
@LeeroyGabriel,🤣🤣🤣,5 months ago,0,,
@ceideplayz3311,2025 😂😂😂,5 months ago,0,2025,2025
@itsmeNaufalReborn,They should've made an episode called 'Biden'.,5 months ago,0,they should've made an episode called 'biden',made episode called 'biden'
@Sonramtm78274,Once he take a bath he will be fine😅😅😅😅😅,6 months ago,1,once he take a bath he will be fine,take bath fine
@francistladi1789,2025 All they way I'm here,6 months ago,0,2025 all they way i'm here,2025 way
@thabangmncwabe3506,"Denilson is mad oo 
I'm from south africa",6 months ago,2,denilson is mad oo i'm from south africa,denilson mad oo south africa
@vivianikheloa4792,No be African they born you,6 months ago,0,no be african they born you,african born
@Izabella_belle12,Meee,4 months ago,0,meee,meee
@vivianikheloa4792,Shoo men haha,6 months ago,0,shoo men haha,shoo men haha
@vivianikheloa4792,Hahaha men men na Trump or drum,6 months ago,0,hahaha men men na trump or drum,hahaha men men na trump drum
@AshleyCole-t7f,Who else is her 2025 😂😅😊,6 months ago,1,who else is her 2025,else 2025
@BeyonceNiyitanga,You still live here men.....men......men i like your comedy much love from Rwanda 🇷🇼🇷🇼🇷🇼,6 months ago,1,you still live here men men men i like your comedy much love from rwanda,still live men men men like comedy much love rwanda
@SALIBAABA100,2025still shuuuu,6 months ago,1,2025still shuuuu,2025still shuuuu
