author,comment,time,votes,clean,clean_nostop,polarity,sentiment
@EmanPasquali,"It is 
very funny😂😂",2 days ago,0,it is very funny,funny,0.325,positive
@tonychristoffels5685,"2025, are you here ?😂🤝",2 weeks ago,2,2025 are you here,2025,0.0,neutral
@Brastonjalatachimbwete,"🤣🤣🤣 @Benz 10, never disappoint, and k brown",2 weeks ago,0,benz 10 never disappoint and k brown,benz 10 never disappoint brown,0.0,neutral
@Brastonjalatachimbwete,We are here 2025 October,2 weeks ago,0,we are here 2025 october,2025 october,0.0,neutral
@SaiKarate-y7l2v,Something is smelling 😅😅😂shu men😅,1 month ago,0,something is smelling shu men,something smelling shu men,0.0,neutral
@blurdream,"Watching in September 2025, still one of the best❤",1 month ago,0,watching in september 2025 still one of the best,watching september 2025 still one best,1.0,positive
@PurrfectPalsAI,still the best in these days HAHAHAHA,1 month ago,0,still the best in these days hahahaha,still best days hahahaha,0.6,positive
@GiannaSmall1,Anyone here august 2025?😂,2 months ago,1,anyone here august 2025,anyone august 2025,0.0,neutral
@MarkMoitz-h7k,Aug 26 2025😂,2 months ago,0,aug 26 2025,aug 26 2025,0.0,neutral
@SiyanthandaInam,Nice trie Emanuel,2 months ago,0,nice trie emanuel,nice trie emanuel,0.6,positive
@BabiryeJawuharah,I can't stop laughing 😂,2 months ago,0,i can't stop laughing,can't stop laughing,0.0,neutral
@SaimonRamires-do6jq,"Even denilson was warning us about trump six year ago. 😂😂😂😂😂
Trump has kill me ooooo😂😂😂😂",2 months ago,0,even denilson was warning us about trump six year ago trump has kill me ooooo,even denilson warning us trump six year ago trump kill ooooo,0.0,neutral
@drcathymwesigwa9080,0:20  what did he say😂,2 months ago,0,0 20 what did he say,20 say,0.0,neutral
@immanuelm4579,2025 we are still here,2 months ago,2,2025 we are still here,2025 still,0.0,neutral
@NicoleAdatsi-ug9bc,😂😂😂😂,2 months ago,0,,,0.0,neutral
@EmmanuelKiyindou,Why is he talking like that?,2 months ago,0,why is he talking like that,talking like,0.0,neutral
@SammoyaSuban,Who's here in 2025,3 months ago,1,who's here in 2025,who's 2025,0.0,neutral
@OmorinadeBanjo,😂😂😂😂😂😂😂😂😂,3 months ago,0,,,0.0,neutral
@Mutembei-tv,Who is here  2100,3 months ago (edited),0,who is here 2100,2100,0.0,neutral
@sineee_was10,😝😝😝😝🌺😭,3 months ago,0,,,0.0,neutral
@sineee_was10,3:30 😂😂,3 months ago,0,3 30,30,0.0,neutral
@StellaBluecy,"Me still here in 2025 and it's still this funny chaiiii 😅😂😅😅
Shu!!!!😅😅😅😅😂😂😂😂",3 months ago,0,me still here in 2025 and it's still this funny chaiiii shu,still 2025 still funny chaiiii shu,0.25,positive
@SalimJibril-p5f,😂😂😂😂😂😂😂,3 months ago,0,,,0.0,neutral
@kingsleymills4635,I really can't believe this guy exploited Emmanuella for years. Made millions of her n still couldn't help her change her life . KARMA will hit you when u least expect it. God n the gods of this universe will make a fool out of you in no time n money can't save you. GREEDY BASTA*D,3 months ago,0,i really can't believe this guy exploited emmanuella for years made millions of her n still couldn't help her change her life karma will hit you when u least expect it god n the gods of this universe will make a fool out of you in no time n money can't save you greedy basta d,really can't believe guy exploited emmanuella years made millions still help change life karma hit least expect god gods universe make fool time money can't save greedy basta,-0.04999999999999999,neutral
@DanielAmeyawttxn,come to trinidad first,3 months ago,0,come to trinidad first,come trinidad first,0.25,positive
@colinsfonjiaatem1859,So funny 😂😂🎉I love it,4 months ago,0,so funny i love it,funny love,0.375,positive
@SandraAw-b4s,Who is here in 2025 june 29th❤😂😊😅,4 months ago,0,who is here in 2025 june 29th,2025 june 29th,0.0,neutral
@MoBLuBSiAb4LiFe,When it was actually good,4 months ago,0,when it was actually good,actually good,0.7,positive
@chrisogada4916,Where is denilson,4 months ago,0,where is denilson,denilson,0.0,neutral
@wwidnaute1263,😂,4 months ago,0,,,0.0,neutral
@NzeValen256,Trump run madooo😂😅,4 months ago,0,trump run madooo,trump run madooo,0.0,neutral
@NagaManuK1994,Anyone in june 2025 ?❤️,4 months ago,1,anyone in june 2025,anyone june 2025,0.0,neutral
@isaiahfrancis6442,7:14 Trump has killed me oooh 😂😂,5 months ago (edited),7,7 14 trump has killed me oooh,14 trump killed oooh,-0.2,negative
@LeeroyGabriel,🤣🤣🤣,5 months ago,0,,,0.0,neutral
@ceideplayz3311,2025 😂😂😂,5 months ago,0,2025,2025,0.0,neutral
@itsmeNaufalReborn,They should've made an episode called 'Biden'.,5 months ago,0,they should've made an episode called 'biden',made episode called 'biden',0.0,neutral
@Sonramtm78274,Once he take a bath he will be fine😅😅😅😅😅,6 months ago,1,once he take a bath he will be fine,take bath fine,0.4166666666666667,positive
@francistladi1789,2025 All they way I'm here,6 months ago,0,2025 all they way i'm here,2025 way,0.0,neutral
@thabangmncwabe3506,"Denilson is mad oo 
I'm from south africa",6 months ago,2,denilson is mad oo i'm from south africa,denilson mad oo south africa,-0.625,negative
@vivianikheloa4792,No be African they born you,6 months ago,0,no be african they born you,african born,0.0,neutral
@Izabella_belle12,Meee,4 months ago,0,meee,meee,0.0,neutral
@vivianikheloa4792,Shoo men haha,6 months ago,0,shoo men haha,shoo men haha,0.2,positive
@vivianikheloa4792,Hahaha men men na Trump or drum,6 months ago,0,hahaha men men na trump or drum,hahaha men men na trump drum,0.2,positive
@AshleyCole-t7f,Who else is her 2025 😂😅😊,6 months ago,1,who else is her 2025,else 2025,0.0,neutral
@BeyonceNiyitanga,You still live here men.....men......men i like your comedy much love from Rwanda 🇷🇼🇷🇼🇷🇼,6 months ago,1,you still live here men men men i like your comedy much love from rwanda,still live men men men like comedy much love rwanda,0.3181818181818182,positive
@SALIBAABA100,2025still shuuuu,6 months ago,1,2025still shuuuu,2025still shuuuu,0.0,neutral
@SesayMilton-l8v,Congratulations that deniesiel is back,6 months ago,1,congratulations that deniesiel is back,congratulations deniesiel back,0.0,neutral
@collins8153,Who else is here 2045,6 months ago (edited),2,who else is here 2045,else 2045,0.0,neutral
@paulmatarasonofsoil7453,Dawa ya ndovu ❤❤❤❤kijana soft,6 months ago,1,dawa ya ndovu kijana soft,dawa ya ndovu kijana soft,0.1,neutral
@Afodis,2025 ?😂,6 months ago,0,2025,2025,0.0,neutral
@uzomaugoeze7367,i love you so very much sussing ❤❤❤❤❤❤❤❤😂😂😂😂😂😂😂🎉🎉🎉🎉🎉🎉🎉😢😢😢😢😢😢😮😮😮😮😮😮😅😅😅😅😅😅😊😊😊😊😊,6 months ago,0,i love you so very much sussing,love much sussing,0.38,positive
@Nagakairi-e7d,Anyone 2025? 😂,6 months ago,12,anyone 2025,anyone 2025,0.0,neutral
@IniOrimogunje-gw5et,Enlisonday ashay onegay azycray (it's in pig Latin 🐖 ♥️ btw),6 months ago (edited),0,enlisonday ashay onegay azycray it's in pig latin btw,enlisonday ashay onegay azycray pig latin btw,0.0,neutral
@AxroravibesDukuly-tv9wb,First Kanye west now trump  denilson whyyyy😂😂😂😂😊,7 months ago,7,first kanye west now trump denilson whyyyy,first kanye west trump denilson whyyyy,0.25,positive
@nadiatou313,Every time that i want to laught i come watch this video it make my day😅😅😅😅😅put me down right now😂😂😂😂,7 months ago,0,every time that i want to laught i come watch this video it make my dayput me down right now,every time want laught come watch video make dayput right,0.06507936507936507,neutral
@MAKAUAIAKA,Who else came after watching kanye west style,7 months ago,0,who else came after watching kanye west style,else came watching kanye west style,0.0,neutral
@thenjiwencube4093,😂 i can't get tired of this😂Trump baby,7 months ago,0,i can't get tired of thistrump baby,can't get tired thistrump baby,-0.4,negative
@mastergenius6548,0:22 o my nigma 😀,7 months ago,31,0 22 o my nigma,22 nigma,0.0,neutral
@ApolotJosephine-d3n,Hahahaha Emmanuelle 😂😂,7 months ago,0,hahahaha emmanuelle,hahahaha emmanuelle,0.2,positive
@TBOYSOCCER,MEN ....... HOW MANY?????,7 months ago,0,men how many,men many,0.5,positive
@MAKAUAIAKA,Who also came back from watching kanye west,7 months ago,1,who also came back from watching kanye west,also came back watching kanye west,0.0,neutral
@yrase8544,Me!!!! I love watching old mark angel videos they never  fail to make me me laugh 😆,3 weeks ago,0,me i love watching old mark angel videos they never fail to make me me laugh,love watching old mark angel videos never fail make laugh,0.2875,positive
@Ablockin4eva,Frl 😂😂😂😂😂😂😂,3 months ago,3,frl,frl,0.0,neutral
@harrybanda4791,I had the hardest part believing k brown is black and denilson is brown😂,7 months ago,0,i had the hardest part believing k brown is black and denilson is brown,hardest part believing brown black denilson brown,-0.16666666666666666,negative
@dusty_wayle,I'll call the po po😂😂😂😂😂,7 months ago,0,i'll call the po po,call po po,0.0,neutral
@wiliangbounewmai7155,Not only 2024... We r still watching even in 2025,7 months ago,0,not only 2024 we r still watching even in 2025,2024 still watching even 2025,0.0,neutral
@Fopp217,0:22 mark didn’t look happy and “my n!gg@ mark!”,7 months ago,0,0 22 mark didn t look happy and my n gg mark,22 mark look happy gg mark,0.8,positive
@HraopouM,Anyone in 2025? 😮😊,7 months ago,2,anyone in 2025,anyone 2025,0.0,neutral
@T0GA-H1MIK0-1,Who is watching this is 2030,7 months ago,0,who is watching this is 2030,watching 2030,0.0,neutral
@MaduwaSinera-r3f8x,Cute you 😂😂😂😂,7 months ago,0,cute you,cute,0.5,positive
@inimbechainim8278,Anyone watching in 2025?,7 months ago,0,anyone watching in 2025,anyone watching 2025,0.0,neutral
@angelangonyani9474,he said oh my nigga Mark,8 months ago,0,he said oh my nigga mark,said oh nigga mark,0.0,neutral
@FredericaAdjei-x9r,denilson you dyed your hair and beards like'' TRUMP'',8 months ago,0,denilson you dyed your hair and beards like'' trump'',denilson dyed hair beards like'' trump'',0.0,neutral
@nancyokpodjah1947,Me i am form  2025,8 months ago,0,me i am form 2025,form 2025,0.0,neutral
@JeffersorIraborstudios,😂😂😂😂😂😂😂😂una wan kill me with laugh 😂😂😂😂😂😂,8 months ago,0,una wan kill me with laugh,una wan kill laugh,0.04999999999999999,neutral
@kotswane2661,😂😂😂😂😂😂😂😂,8 months ago,0,,,0.0,neutral
@KayleeReid-h2g,So. Funny 🤣🤣🤣🤣🤣🤣😂🤣😂🤣😂😂😂😂😂😂😂,8 months ago,0,so funny,funny,0.25,positive
@CharityChamunorwa-i2w,Who is this 😂😂😂😂😂😂😂😂😂😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝,8 months ago,1,who is this,,0.0,neutral
@MaduwaSinera-r3f8x,😂😂😂😂 6:28 put me down right now,8 months ago,2,6 28 put me down right now,28 put right,0.06507936507936507,neutral
@mosesireyomi4186,This is why Denilson left Mark Angel comedy.,8 months ago,0,this is why denilson left mark angel comedy,denilson left mark angel comedy,0.0,neutral
@CristianoJames890,Trump 😂😂😂😂,8 months ago,1,trump,trump,0.0,neutral
@simmyoption9997,Who's else here 17-02-2025,8 months ago,0,who's else here 17 02 2025,who's else 17 02 2025,0.0,neutral
@janemusanduro6135,😂😂,8 months ago,0,,,0.0,neutral
@FathilaNamugenyi,Trump 00000,8 months ago,0,trump 00000,trump 00000,0.0,neutral
@RubyKessewaBrakoWiafe,Hahaha 🤣🤣🤣🤣 denilson came back from the United States ❤❤❤,8 months ago,3,hahaha denilson came back from the united states,hahaha denilson came back united states,0.1,neutral
@mgouzkilongofficial6410,Anyone watching in 2080,8 months ago,0,anyone watching in 2080,anyone watching 2080,0.0,neutral
@MiguelAlberto425,Me,9 months ago,1,me,,0.0,neutral
@azichristian5432,Good old days,9 months ago,2,good old days,good old days,0.39999999999999997,positive
@repostchannel6864,Anyone watching in 2025?,9 months ago,4,anyone watching in 2025,anyone watching 2025,0.0,neutral
@repostchannel6864,Anyone watching in 2025?,9 months ago,2,anyone watching in 2025,anyone watching 2025,0.0,neutral
@repostchannel6864,Anyone watching in 2025?,9 months ago,1,anyone watching in 2025,anyone watching 2025,0.0,neutral
@tash101,Who is here in 2025❤,9 months ago,2,who is here in 2025,2025,0.0,neutral
@Darkdgamerz,Abeg who here in 2025😂,9 months ago,0,abeg who here in 2025,abeg 2025,0.0,neutral
@ElenaRodriguez-s3d,My nigga man 😂😂😂😂😂 that was so funny,9 months ago,2,my nigga man that was so funny,nigga man funny,0.25,positive
@ryan_12345-c,Who is in 2025?🎉🎉,9 months ago,0,who is in 2025,2025,0.0,neutral
@MarteyGodwin,Who is in 2029,9 months ago,0,who is in 2029,2029,0.0,neutral
@zawadichari8004,Who is here in 2025,9 months ago,1,who is here in 2025,2025,0.0,neutral
@Your_Service2,I miss your joke!,9 months ago,0,i miss your joke,miss joke,0.0,neutral
@roseese7153,Who is watching in 2025 🎉🎉,9 months ago,2,who is watching in 2025,watching 2025,0.0,neutral
@aishatoufranzoni,Denilson  people will start thinking that we are doing Wizkid🤣🤣🤣🤣,9 months ago (edited),0,denilson people will start thinking that we are doing wizkid,denilson people start thinking wizkid,0.0,neutral
@Mikaufiltered,Who else is Here in 2025,9 months ago,281,who else is here in 2025,else 2025,0.0,neutral
@Brhane6888,It’s 2025 still something is smelling 😂😂,9 months ago,3,it s 2025 still something is smelling,2025 still something smelling,0.0,neutral
@tokpisin,Who is watching in 2025 now😁,9 months ago,18,who is watching in 2025 now,watching 2025,0.0,neutral
@suleimanmohamoud395,I am 😂,8 months ago,0,i am,,0.0,neutral
@celloudioherediallo1659,I am here,8 months ago,0,i am here,,0.0,neutral
@KaramulahiMhiji-kz6dv,Me,6 months ago,1,me,,0.0,neutral
@SandileNgcobo-js5cf,Im here😂,8 months ago,0,im here,im,0.0,neutral
@AlexBuongthanglien,Me too 😂,8 months ago,2,me too,,0.0,neutral
@CristianoJames890,Me from indian 🇮🇳😂😂😂,8 months ago,0,me from indian,indian,0.0,neutral
@Grr-y3h,Me❤❤🇬🇭🇬🇭,8 months ago,1,me,,0.0,neutral
@JeffersorIraborstudios,Me 🇳🇬,8 months ago,1,me,,0.0,neutral
@alexandraappiagyei3695,Me,7 months ago,0,me,,0.0,neutral
@lyrics3302,😂,7 months ago,0,,,0.0,neutral
@giovanniadjayi-j3j,me,7 months ago,0,me,,0.0,neutral
@thenjiwencube4093,We trending baby😂,7 months ago,0,we trending baby,trending baby,0.0,neutral
@kaynids1,I am here too dude,6 months ago,0,i am here too dude,dude,0.0,neutral
